group	module	version	licenseNames	licenseUrls	pomSha256
androidx.compose.runtime	runtime	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	8060833a3de177a92c5a0c6e63d475bece3c53789f7c33350a090cbbedff1bdc
androidx.compose.runtime	runtime-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	fe64f3bc45354b62a18c0990af542fcae9db29b16d4625f7d86eec17c41ffcfd
androidx.compose.runtime	runtime-annotation	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	27859106da79cd1dedb74fd8f05b0caab7bb5d8f939c2240c392fa60c5cc962e
androidx.compose.runtime	runtime-annotation-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	34caaed1a00c35ebacd197df993b08a558e681397063d3fdbaeca9926fb25ef7
androidx.compose.runtime	runtime-retain	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	71e8bd2a74e5e772f20105b9ac7811226a51d39715bf8f29b766fd768195e59d
androidx.compose.runtime	runtime-retain-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	dae425041efb174f902669e868640ab7030aa4064287213ed04291feaea79661
androidx.compose.runtime	runtime-saveable	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	2a5c6cc5bbe79c3dfae10340eb2b9b5c55a8c7830ecf63c0743811a7207dea97
androidx.compose.runtime	runtime-saveable-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1d3e2036b8eb1f4c945f437de1ac3d26030a013c77c39a191e1dcc414af76101
androidx.compose.ui	ui	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0136ebc70b4ea453471c94c8b077798f80a2a96dbb5253510ede9e6a9a9d9d26
androidx.compose.ui	ui-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	7ed3581910ea7cfd1af5f6346c226bf5556d5a6e29db4b358f28ceff5f16d032
androidx.compose.ui	ui-geometry	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	99ac7f91814e42a08cc21c709a4eefbb65956e7ea60b6f9a7edd16101d3d19ad
androidx.compose.ui	ui-geometry-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0ab80c3de29cfcf72c1f24a3dcffb697daa02115f9791c26d8de8f9a70f770be
androidx.compose.ui	ui-graphics	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	3d88bd3437e0ccc6ed95c2181acf8d528fce6e76bcdf76349a64afc8314add3e
androidx.compose.ui	ui-graphics-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	bcef16c88649dbfa7845fb5d4574bd3d73d9c50d029c5f699fbfc510d027e582
androidx.compose.ui	ui-text	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f7bf3db87326483a83fae293d7e9443aeb5fed6ff29b994c13ed4c34a3d84aad
androidx.compose.ui	ui-text-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	554e61b61f61933e0b9fab87c197af1e5808738dd014df41db2de53f15dce545
androidx.compose.ui	ui-tooling-preview	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f5fae2788458963a003639bb5814b8415c08b6cc5c165d14620404c56b5b1f29
androidx.compose.ui	ui-tooling-preview-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a0111a1a044b020a85b253f822c11df8617484d227917d3d77ee4648353e2cf2
androidx.compose.ui	ui-unit	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	82f6c0aaba50438e24de9cb56c719cf1cf36fb4167fc727e1ab0ddb8b0d8346e
androidx.compose.ui	ui-unit-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	09be906d333708b8439054b748db21b2e91154640fefb34d88a5c08918a736e4
androidx.compose.ui	ui-util	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	6edd70df448bdfa874e1a70ce99094fce4bbc264b388669af75444da9c48594a
androidx.compose.ui	ui-util-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	459e37d23de0ddb905d7809841cc755db763f0a3182bad64a64dbc0d3832c29d
androidx.concurrent	concurrent-futures	1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	748a34eb5d13d19d187adecaea82667fded5f1b0b98a655e13ed2e4a8b3d8ae6
androidx.core	core	1.19.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1a99fe690775ed0e84788d5895f4a55664479176737ca0986336319ecfce8538
androidx.core	core-ktx	1.19.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	b8fe1568a1cb462c99c660cebaf80348c2dd1881054be5d9659c1a2589cc3ba8
androidx.core	core-viewtree	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d4f2ed1176fa8c5612b80f74c952a8799142a9ed36022a1a238fde5b140580d9
androidx.cursoradapter	cursoradapter	1.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.customview	customview	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	ce9e47b87184f5bd5e139e9becd5b26476d42d78c31bf2fdedc37acb41b9ad49
androidx.customview	customview-poolingcontainer	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	9fa62196c4c4e79b6a58dbb38a8c022bef8db21989d7dae2da0f6f5b66289a9c
androidx.datastore	datastore	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d3b4f20e7a5cdeceac8e966e9d8df54131d39a3fbbc642b03457f7e278b57e33
androidx.datastore	datastore-core	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	80c6b6611f7f9b4378711f56476fd6c9433d2822d5c3acc6d93d08cd83339d23
androidx.documentfile	documentfile	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	013288a9317a552706ce625fb24493e8223288529223ec578cf855a5ae9c16e5
androidx.drawerlayout	drawerlayout	1.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.dynamicanimation	dynamicanimation	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	44ce22ee620d28f17301bcc60ad49b69b7d0596c2a87b054ad1e3feac7b4a898
androidx.emoji2	emoji2	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1f67221484f7d1260eb6e2b490cd4e7046bf5cb536276d79f972ad3f198b474d
androidx.emoji2	emoji2-views-helper	1.4.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.exifinterface	exifinterface	1.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.fragment	fragment	1.5.7	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.graphics	graphics-path	1.0.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	866fb357c7146f5f7678ad44e4bc6c2823d568defce1ed2805bb6c899606b228
androidx.interpolator	interpolator	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0ddc07cc39699f48ecd9ec894b5830c0f09e22e82959294edf37217224c88b7b
androidx.legacy	legacy-support-core-utils	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	8fd093008b3ee7c06e52c78da2af980a7b47b69b967fa91dad7af466f7a00a38
androidx.lifecycle	lifecycle-common	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	12b70a2d44383f97624307c6d9a3ff86e82657bb8ec300b95541ba48173edbac
androidx.lifecycle	lifecycle-common-java8	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	3d02f40af88dba161d4be407ed07723d7131ac464193ffe05c96bc9cb72e9034
androidx.lifecycle	lifecycle-common-jvm	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	421918e01dd8508b0c376207a9e98159ef77fed11eb1d9098294344ed67750c7
androidx.lifecycle	lifecycle-livedata	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	ec47faea1d2f68625ac49ad260f5f5233d9b40da922253b57aa153d49b5f5ca8
androidx.lifecycle	lifecycle-livedata-core	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	bedbe8c2230f207c7b27c15a67fa85aff7df681b145a45fd4fd9d6ccedafb2d4
androidx.lifecycle	lifecycle-livedata-core-ktx	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	cf5d8651182e43675968e4bff5b018a7b5d9ad75d777ded594ffc7c2d8c0948a
androidx.lifecycle	lifecycle-process	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	63f3303cb0f0ece424fedaba55cd3984e44422e7dd5071debca4a4423216c420
androidx.lifecycle	lifecycle-runtime	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	c804e72f7795e17b44ab7e4be95ceb7fc22c19a07818e29f8a314ef43cf87769
androidx.lifecycle	lifecycle-runtime-android	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1dfd1f739d71957166a0511a6fb2cbfc8da766c1840d5664063898ed6dac8aa6
androidx.lifecycle	lifecycle-runtime-compose	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	2bdb87ffb1d80110d1154b6e827b41872686614406d920c7a10135beb8817960
androidx.lifecycle	lifecycle-runtime-compose-android	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	006872b13e979a262c15b40e1422eaebce90bab240b1a08ac9fd7f6020fcca8e
androidx.lifecycle	lifecycle-runtime-ktx	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	8b8eb011e4a58873823406fb45220e50f39058fc9abfb2c0806735af65edf79a
androidx.lifecycle	lifecycle-runtime-ktx-android	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a5e598838f5ce314cff3b7b5cd4ed53119ae7a307a51a9a519fef9f1fe95d57f
androidx.lifecycle	lifecycle-service	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	ade67ab3ef85ba4a18f28a6eaf558c2128b01021cd0ca20c3999a566f1a29454
androidx.lifecycle	lifecycle-viewmodel	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	e22ea0fca36eed3f649120fdadcf1d96f7f9a47d58472059d234b0cc62c9f570
androidx.lifecycle	lifecycle-viewmodel-android	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	c6d78741c43ccf10d5da5f0e040dedfffda20b9748caa038dc58be25d35c90a3
androidx.lifecycle	lifecycle-viewmodel-compose	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d0d002c9dea943f4fce0b7bcb0bd2770fb80db054be75c33e5817f3e6fb884ea
androidx.lifecycle	lifecycle-viewmodel-compose-android	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	350daf4884944f4f0c82edd3e66ea195342bcffd4945689057a5fada9cd79f4c
androidx.lifecycle	lifecycle-viewmodel-ktx	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	98cee40062344063eef3f71f9d66032d69e6304ba0858561fc823d73c61b63b4
androidx.lifecycle	lifecycle-viewmodel-savedstate	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	48521feaf9d631743cb07c138e77c34f9f7f621804e7f4e9162a7fb5e28cd4ea
androidx.lifecycle	lifecycle-viewmodel-savedstate-android	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	658d326b66a0768ccd35df85c7487494569c63951e090c3a1b019b97bb8a0110
androidx.loader	loader	1.1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.localbroadcastmanager	localbroadcastmanager	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a000041f5a1f79283c5175e1bb60cf3683780f401c6a9d34fbe9751253fa6ff9
androidx.navigationevent	navigationevent	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	de7fae42b4234f6fedc7762510bcb5db9860187be56f3bfec34b73db6e4a22a2
androidx.navigationevent	navigationevent-android	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	5cabbb40f3fba11166576a839acf4eb6db59ab5e5ebcb16361d41f8bec805b50
androidx.navigationevent	navigationevent-compose	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	58899c64fefa0768066621c8994385182c52a0848a78c882705f5e7dabd98471
androidx.navigationevent	navigationevent-compose-android	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	6a3b7e989b18ab25274dbd0531dcc4d66e4efb8de4985daff539d5131285bff8
androidx.print	print	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	62482c0594841bee24bb996abb6cb7b320a6a3b77dca9f0a0ba4fe3be5530aa7
androidx.privacysandbox.ads	ads-adservices	1.0.0-beta05	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a4b5ac66ca7e79798b5a8750bf4c2cb75c38f4e539eb56164fc9b9c313dbdf9e
androidx.privacysandbox.ads	ads-adservices-java	1.0.0-beta05	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	bcaf717fd6f0847b6e2535d8c54520b737ea684d8be366391ee8898fd6211604
androidx.profileinstaller	profileinstaller	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d5fe39981a3b4b7c39585130da0bfc93835054c834a438d3e63e065e5f78be55
androidx.resourceinspection	resourceinspection-annotation	1.0.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.room	room-common	2.2.5	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	fbb37fcf02b35ba7a909fffb52ce4ccb36874f03c1f927f6338b68ef9f1d6b7a
androidx.room	room-runtime	2.2.5	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	5d7e35be6728b331c82eed418fee9133d2481ba2c5a12500c182b27545bc4bbb
androidx.savedstate	savedstate	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d2b68a2d0cc76f23cebc6d4ea9bbf2d63fb536ffd94e05514ad9da6c5f530492
androidx.savedstate	savedstate-android	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	b44b215b4cce24ca64b5faa58ff463f4b91abc02af95ba405ade488828f4f779
androidx.savedstate	savedstate-compose	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	b15f47b42585442c9b6a9d416afc30782c69dbf9a5760a2c37175f0024f0d17e
androidx.savedstate	savedstate-compose-android	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	de19831dabb84a4d0e120e86dceb08cf62c08606b5d99e91a8f8e6b4a4658883
androidx.savedstate	savedstate-ktx	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	b085af7cc4bb297ed0f25ca85d3629613ab253c0b532684c6cf77c2aee7471c5
androidx.sqlite	sqlite	2.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a9fe19b196fb25df41719ea6f1bc53f380eaed4bd5e651ec6fd75bcbeeb2a9ee
androidx.sqlite	sqlite-framework	2.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	ecd1fa9421e442cec59b4e642a51f8398e8d16bb5fcc92ac6fbb085ecc73685c
androidx.startup	startup-runtime	1.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f4114b5c6859bb1bc3caf281cb6d6f25998fa7f7292c64ceaea74a93210e746b
androidx.tracing	tracing	1.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f34bec4eb58871d31002901377108aaa1ebfe77fa6d882b8b86200b158e26ea1
androidx.transition	transition	1.6.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	070d7795010071edefbef94b8c9d5a2cac5cb5f3b1a2c5e558546438177c8ef8
androidx.vectordrawable	vectordrawable	1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	5b0e2d5b2179e54804785cbc21ce5f473b5e1ddd55a57da482e94dcd39492bb2
androidx.vectordrawable	vectordrawable-animated	1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	276a20116b705fb75b9003ee9496c56f6fd3b32375fb232472811eba60a040bd
androidx.versionedparcelable	versionedparcelable	1.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	5f51e65873ca612de3838fa90d2ee95b8d040efd31b9c390a19bf94d615cdb2f
androidx.viewpager	viewpager	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1f72f836339d03c6eb013f65075e76ca87075a577578eb4f95f74a3a5d253128
androidx.webkit	webkit	1.12.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	cf34979662253d79943b565133a676c2455fc908ad32b93048421441bc5f4c2d
androidx.window	window	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d4f22b991a69600e2ffc36b42ac199626fd96d5f1648c3beeccd35de06fcc351
androidx.window	window-core	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	e38a30fe9a9ccb575531b265fec8e23207bda9818977aae495f3fe74b9c9e1f3
androidx.window	window-core-android	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	463c50b22a969c6274ebdb7b5f56ba1ea1dde352e9679f0a0ba90f3971dbcd57
androidx.work	work-runtime	2.7.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1338fe21f45515236dd93fbfac14450d312aa3d2755f4c3e2f2807bf198d4ce3
com.android.billingclient	billing	9.1.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	99b89f5001a3df1971e5c5b8c3742f1c5197848a64c8105bbc81b4fa6299a545
com.android.billingclient	billing-ktx	9.1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.datatransport	transport-api	3.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1537bebd44da2eb7e3be73fc4259e1116f2a68a5305f4fe23c6cea9a6f84f791
com.google.android.datatransport	transport-backend-cct	3.1.8	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	42698696ebd5af1eb33f917e582baa416e289a21cd83ee329c255852216b8a78
com.google.android.datatransport	transport-runtime	3.1.8	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d6ff762251fb35594afe5efe860b5871064e18c0bd1bdb77084e3573f90e4e8f
com.google.android.gms	play-services-ads	25.4.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	16ed7cc8363193a8f80f991a482629ff544b191eca5c448fa0c6dfdfd6216db4
com.google.android.gms	play-services-ads-api	25.4.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	cd9f658ea2ac564c17ecff5ac238dc0c1b861bff02cf1482f9da20d951408093
com.google.android.gms	play-services-ads-identifier	18.0.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	4fb6f2cd8b2293a4ae8e5c7522ded08380ec8f4fca60fe458387f5aaf4d4846a
com.google.android.gms	play-services-appset	16.0.1	Android Software Development Kit License	https://developer.android.com/studio/terms.html	ffb08cb11e80f2ce3c0bea157bffc0d0a4f6e3e38b25a10daed30b292888169f
com.google.android.gms	play-services-auth	21.6.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-auth-api-phone	18.0.2	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-auth-base	18.0.10	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-base	18.5.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	2570b515c2717af386c890e97f644782e3f86da7b677a4ff1036147e7ea622a4
com.google.android.gms	play-services-basement	18.9.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	601ef047167c6c280b8b190942d9e94a0463e891acd9c6ccf532eb298a5efe5b
com.google.android.gms	play-services-fido	20.0.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
