group	module	version
com.google.mlkit	text-recognition-bundled-common	17.0.0
com.google.mlkit	vision-common	17.3.0
com.google.mlkit	vision-interfaces	16.3.0
com.google.zxing	core	3.5.3
javax.inject	javax.inject	1
org.jetbrains	annotations	23.0.0
org.jetbrains.kotlin	kotlin-stdlib	2.3.21
org.jetbrains.kotlinx	kotlinx-coroutines-android	1.9.0
org.jetbrains.kotlinx	kotlinx-coroutines-bom	1.9.0
org.jetbrains.kotlinx	kotlinx-coroutines-core	1.9.0
org.jetbrains.kotlinx	kotlinx-coroutines-core-jvm	1.9.0
org.jetbrains.kotlinx	kotlinx-coroutines-play-services	1.9.0
org.jetbrains.kotlinx	kotlinx-serialization-bom	1.7.3
org.jetbrains.kotlinx	kotlinx-serialization-core	1.7.3
org.jetbrains.kotlinx	kotlinx-serialization-core-jvm	1.7.3
org.jspecify	jspecify	1.0.0
